period,region,service_group,service,cancel_topic,payment_method,order_type,cancel_type,cancel_by,total,PCT90_create_to_board,PCT90_order_to_board,PCT90_create_to_accept,PCT90_order_to_accept,PCT90_create_to_cancel,PCT90_order_to_cancel,PCT90_accept_to_cancel,PCT90_accept_to_board,PCT90_board_to_cancel
"December 1, 2025",HAN,2Ws,4H,COD is not affordable,ALL,not_idle,after_accept,supplier,2,,,,222.4,222.77,222.77,11.73,,
"December 1, 2025",HAN,2Ws,4H,COD is not affordable,ALL,not_idle,before_accept,user,2,,,,,89.35,89.35,,,
"December 1, 2025",HAN,2Ws,4H,COD is not affordable,ALL,not_idle,after_accept,admin,1,,,,0.067,16.95,16.95,16.88,,
"December 1, 2025",HAN,2Ws,4H,COD is not affordable,ALL,idle,after_accept,supplier,3,,,,135.57,326.45,137.22,1.87,,
"December 1, 2025",HAN,2Ws,4H,COD is not affordable,ALL,not_idle,after_accept,supplier,16,,166.77,,161.45,161.68,161.68,11.52,3.87,2.2
"December 1, 2025",HAN,2Ws,4H,COD is not affordable,ALL,not_idle,before_accept,user,1,,,,,3.02,3.02,,,
"December 1, 2025",HAN,2Ws,4H,COD is not affordable,ALL,idle,after_accept,admin,1,,,,87.37,868.65,223.45,136.08,,
"December 1, 2025",HAN,2Ws,4H,COD is not affordable,ALL,not_idle,after_accept,admin,2,,,,83.87,159.7,159.7,75.83,,
"December 1, 2025",HAN,2Ws,4H,COD is not affordable,ALL,idle,after_accept,supplier,2,,175.97,,154.28,739.5,155.03,4.68,21.68,
"December 1, 2025",HAN,2Ws,4H,COD is not affordable,ALL,not_idle,after_accept,supplier,29,,142.82,,174.9,178.15,178.15,13.97,1.85,2.52
"December 1, 2025",HAN,2Ws,4H,COD is not affordable,ALL,idle,after_accept,supplier,1,,133.98,,133.97,194.88,135.07,1.1,0.017,1.08
"December 1, 2025",HAN,2Ws,4H,COD is not affordable,ALL,idle,after_accept,supplier,1,,,,122,152.67,124.07,2.07,,
"December 1, 2025",HAN,2Ws,4H,COD is not affordable,ALL,not_idle,after_accept,supplier,5,,137.13,,132.18,141.43,141.43,17.83,4.95,13.97
"December 1, 2025",HAN,2Ws,4H,Cancel by admin,ALL,idle,after_accept,admin,3,,127.25,,141.4,"1,075.18",215.32,73.92,99.37,
"December 1, 2025",HAN,2Ws,4H,Cancel by admin,ALL,not_idle,after_accept,admin,14,,146.02,,103.83,"1,860.8","1,860.8","1,679.42",90.22,"4,154.7"
"December 1, 2025",HAN,2Ws,4H,Cancel by admin,ALL,idle,after_accept,admin,3,,41.85,,21.87,145.78,88.63,77.92,31.2,4.27
"December 1, 2025",HAN,2Ws,4H,Cancel by admin,ALL,not_idle,after_accept,admin,3,,38.65,,10.83,122.78,122.78,114.37,27.82,106.88
"December 1, 2025",HAN,2Ws,4H,Cancel by admin,ALL,idle,after_accept,admin,4,,78.4,,40.9,"1,134.63",132.62,91.72,67.85,20.98
"December 1, 2025",HAN,2Ws,4H,Cancel by admin,ALL,not_idle,after_accept,admin,14,,958.57,,59.2,"1,485.42","1,485.42","1,470.15",941.4,"1,406.77"
"December 1, 2025",HAN,2Ws,4H,Cancel by admin,ALL,idle,after_accept,admin,83,135.83,169.72,"1,976.1",120.13,"1,106.48",222.07,115.27,106.07,51.03
"December 1, 2025",HAN,2Ws,4H,Cancel by admin,ALL,idle,before_accept,admin,2,,,,,277.82,148.1,,,
"December 1, 2025",HAN,2Ws,4H,Cancel by admin,ALL,not_idle,after_accept,admin,242,,194.55,,121.23,239.2,239.2,130.82,113.45,78.27
"December 1, 2025",HAN,2Ws,4H,Cancel by admin,ALL,not_idle,before_accept,admin,4,,,,,139.23,139.23,,,
"December 1, 2025",HAN,2Ws,4H,Cancel by admin,ALL,idle,after_accept,admin,61,154.48,189.08,966.45,115.6,"1,020.58",216.37,115.9,142.38,73.13
"December 1, 2025",HAN,2Ws,4H,Cancel by admin,ALL,idle,before_accept,admin,1,,,,,"1,101.28",106.75,,,
"December 1, 2025",HAN,2Ws,4H,Cancel by admin,ALL,not_idle,after_accept,admin,210,,206.02,,124.2,222.23,222.23,137.8,127.57,68.9
"December 1, 2025",HAN,2Ws,4H,Cancel by admin,ALL,not_idle,before_accept,admin,4,,,,,203.62,203.62,,,
"December 1, 2025",HAN,2Ws,4H,Cancel by admin,ALL,idle,after_accept,admin,9,,155.15,639.08,112.67,"1,094.32",183.87,135.47,103.92,28.72
"December 1, 2025",HAN,2Ws,4H,Cancel by admin,ALL,not_idle,after_accept,admin,18,,192.35,,94.28,201.15,201.15,121.17,179.65,174.6
"December 1, 2025",HAN,2Ws,4H,Cancel by admin,ALL,idle,after_accept,admin,10,,173.97,122.55,52.3,973.9,190.4,126.18,150.63,59.88
"December 1, 2025",HAN,2Ws,4H,Cancel by admin,ALL,idle,before_accept,admin,1,,,,,156.03,,,,
"December 1, 2025",HAN,2Ws,4H,Cancel by admin,ALL,not_idle,after_accept,admin,33,,196.32,,102.48,190.47,190.47,126.68,113.83,86.32
"December 1, 2025",HAN,2Ws,4H,Cancel by admin,ALL,idle,after_accept,admin,17,,232.52,8.78,160.43,"1,563.8",263.68,185.13,67.95,105.8
